"Source:","/home/mxmont/Documents/Work/Armada/power_board/power_board.kicad_sch"
"Date:","dom 27 mar 2022 22:21:43"
"Tool:","Eeschema 6.0.2-378541a8eb~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","134"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"28","2","J12, J13","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"29","1","L1","470nH","Device:L","Inductor_SMD:L_1008_2520Metric","~"
"30","2","L2, L4","2.2uH","Device:L","Inductor_SMD:L_TracoPower_TCK-047_5.2x5.8mm","~"
"31","1","L3","10uH","Device:L","Inductor_SMD:L_Bourns_SRN8040TA","~"
"32","2","R1, R2","10mOhms","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"33","4","R7, R11, R36, R40","2.4M","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"34","6","R8, R14, R17, R37, R42, R43","1M","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"35","2","R9, R38","240K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"36","3","R10, R27, R39","205K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"37","2","R12, R41","330","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"38","3","R13, R16, R30","330K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"39","1","R15","536K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"40","2","R18, R21","51K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"41","2","R19, R44","90.9K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"42","2","R20, R45","316K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"43","4","R22, R24, R46, R47","47K5","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"44","1","R23","0","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"45","2","R25, R48","49.9K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"46","2","R26, R49","6.49K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"47","1","R28","887K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"48","1","R29","121K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"49","1","R31","64K9","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"50","1","R32","50mOhms","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"51","1","R50","825K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"52","1","R51","182K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"53","7","TP12, TP13, TP14, TP15, TP16, TP17, TP18","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded","~"
"54","2","U1, U5","LTC1540IMS8","power_board_navy:LTC1540IMS8","Package_SO:MSOP-8_3x3mm_P0.65mm",""
"55","2","U2, U6","LTC3113EDHD","power_board_navy:LTC3113EDHD","Package_SO:SSOP-20_4.4x6.5mm_P0.65mm",""
"56","1","U3","LT3652EMSE","Battery_Management:LT3652EMSE","Package_SO:MSOP-12-1EP_3x4mm_P0.65mm_EP1.65x2.85mm","https://www.analog.com/media/en/technical-documentation/data-sheets/3652fe.pdf"
"57","1","U4","INA3221","Power_Management:INA3221","Package_DFN_QFN:Texas_RGV_S-PVQFN-N16_EP2.1x2.1mm","http://www.ti.com/lit/ds/symlink/ina3221.pdf"
